,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
161,EI-0001,Memory,0.07133439673,0.0449959875225,0.271970407529,-0.286745565872,0.0560128149733,0.0797879627776
162,EI-0001,CookieTheft,0.0688259203521,0.0455640314016,0.283857981431,-0.0965443834375,0.0619566019244,0.0560128149733
163,EI-0001,PupilCalib,0.00401771377193,0.045351073013,0.182813603263,-0.142113416729,0.0124250439988,-0.0133313661225
164,EI-023,EI-023_allsc,0.0237149180781,0.0675196871691,1.00865359372,-0.307106650241,0.0116980027061,0.0946240685017
165,EI-023,Reading,-0.00388680671949,0.0681404329406,0.802259829957,-0.198381363976,0.0338116202516,-0.0638568572409
166,EI-023,Memory,0.0575306675861,0.0624391642782,0.341559464426,-0.244451400529,0.00616959831977,0.0946240685017
167,EI-023,CookieTheft,0.0137920952767,0.0629069074385,1.00865359372,-0.307106650241,0.0209120100168,0.00985520124402
168,EI-023,PupilCalib,-0.000702428803095,0.029655203833,0.137008502131,-0.0933416806349,0.0116980027061,-0.00120160752873
169,EI-037,EI-037_allsc,-0.0550511822145,0.0857541924513,0.30292144871,-0.441042762185,0.127755272071,0.082487608445
170,EI-037,Reading,-0.0949743083422,0.0799414779907,0.243876670068,-0.441042762185,-0.0749651346016,-0.0572517010088
171,EI-037,CookieTheft,-0.0432681186306,0.0721401929632,0.279303537253,-0.27178106341,-0.114328320363,-0.084805931042
172,EI-037,PupilCalib,0.00181256435925,0.0855422147671,0.188768210001,-0.354443753509,0.127755272071,-0.00017508165446
173,EI-051,EI-051_allsc,-0.0137281209054,0.053012453674,0.380297063903,-0.319626943005,-0.0693747841105,0.0596614853195
174,EI-051,Reading,-0.0461510981271,0.0428095362435,0.192607944732,-0.315716753022,-0.0439585492228,-0.0693747841105
175,EI-051,Memory,0.0174855989285,0.054516687122,0.380297063903,-0.319626943005,-0.0576442141624,0.0596614853195
176,EI-051,CookieTheft,-0.0109251726484,0.0409519153261,0.143730569948,-0.257063903282,-0.034183074266,-0.0928359240069
177,EI-051,PupilCalib,0.00187038543704,0.0478355228687,0.126134715026,-0.131937823834,-0.0693747841105,0.0948531951641
178,EI-096,EI-096_allsc,0.116119996565,0.140451752836,0.751678124721,-0.306737660609,0.0160791539167,0.164257363863
179,EI-096,Reading,0.0225035529728,0.0639319425562,0.381232599856,-0.306737660609,0.0637078642566,0.15367320601
180,EI-096,Memory,0.272137742204,0.146785500062,0.751678124721,-0.163851529589,0.103398456206,0.164257363863
181,EI-096,CookieTheft,0.091618378078,0.0535640790444,0.598207835848,-0.185019845296,0.000202917136757,0.214532113666
182,EI-096,PupilCalib,0.00134862494562,0.0682678947067,0.434153389122,-0.179727766369,0.0160791539167,-0.0156733196432
183,EI-112,Reading,0.0759680110849,0.0362075893113,0.193025347939,-0.0699052759697,0.105381806636,0.00521775943271
184,EI-112,CookieTheft,0.13112320043,0.0419321753598,0.280668889242,-0.0555961263693,0.0266814838334,0.189448060539
185,EI-112,PupilCalib,-0.000173969413134,0.0266698413195,0.0839180822353,-0.200476266074,0.0231041964333,-0.0216118960682
186,EI-137,EI-137_allsc,-0.179821956599,0.0882203992472,0.222602244809,-0.523694542126,-0.0652187003228,-0.268985741124
