,interview,task,mean_Latency,med_Latency,sd_Latency,mean_Latency_f,med_Latency_f,sd_Latency_f,mean_Latency_b,med_Latency_b,sd_Latency_b,prop_dir_f,fallinAOI
25,EE-057,CookieTheft,885.25,579.0,-1.0,1141.33333333,1041.0,-1,1247.5,1037.0,-1.0,0.5,0
26,EE-087,CookieTheft,1056.54545455,1059.0,-1.0,939.666666667,1078.0,-1,1054.4,1038.0,-1.0,0.0909090909091,0
27,EE-093,CookieTheft,396.571428571,158.0,-1.0,1418.0,1418.0,-1,497.857142857,159.0,-1.0,0.142857142857,0
28,EE-100,CookieTheft,445.444444444,508.0,-1.0,1088.66666667,8.0,-1,503.25,546.0,-1.0,0.222222222222,0
29,EE-105,CookieTheft,612.375,204.0,-1.0,775.461538462,125.0,-1,479.071428571,321.0,-1.0,0.5,0
30,EE-126,CookieTheft,2833.0,2833.0,-1.0,2833.0,2833.0,-1,-1.0,-1.0,-1.0,1.0,0
31,EE-140,CookieTheft,443.272727273,366.0,-1.0,1729.6,2158.0,-1,470.636363636,592.0,-1.0,0.181818181818,0
32,EE-146,CookieTheft,914.0,1017.0,-1.0,816.75,667.0,-1,785.2,692.0,-1.0,0.5,0
33,EE-147,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
34,EE-174,CookieTheft,458.0,458.0,-1.0,-1.0,-1.0,-1,458.0,458.0,-1.0,0.0,0
35,EE-190,CookieTheft,1466.25,974.5,-1.0,3591.0,3591.0,-1,758.0,966.0,-1.0,0.25,0
36,EH-061,CookieTheft,829.5625,662.5,-1.0,1300.66666667,708.0,-1,888.2,700.0,-1.0,0.375,0
37,EH-164,CookieTheft,764.363636364,350.0,-1.0,1011.6,75.0,-1,623.0,417.0,-1.0,0.363636363636,0
38,EH-173,CookieTheft,1002.28571429,950.0,-1.0,804.0,804.0,-1,1081.6,950.0,-1.0,0.285714285714,0
39,EI-0001,CookieTheft,368.4,458.0,306.727566417,671.0,529.0,-1,481.4,467.0,238.386870444,0.4,0
40,EI-023,CookieTheft,849.5,475.0,-1.0,932.25,933.0,-1,934.571428571,762.5,-1.0,0.214285714286,0
41,EI-037,CookieTheft,712.5,749.5,-1.0,-1.0,-1.0,-1,712.5,749.5,-1.0,0.0,0
42,EI-051,CookieTheft,586.4,608.0,-1.0,3558.0,3558.0,-1,586.4,608.0,-1.0,0.0,0
43,EI-096,CookieTheft,279.333333333,316.5,-1.0,1627.66666667,1716.0,-1,279.333333333,316.5,-1.0,0.0,0
44,EI-112,CookieTheft,597.111111111,284.0,-1.0,1451.6,1175.0,-1,698.111111111,433.0,-1.0,0.222222222222,0
45,EI-137,CookieTheft,1069.0,783.0,-1.0,2961.5,2961.5,-1,1069.0,783.0,-1.0,0.0,0
46,EI-170,CookieTheft,933.285714286,509.0,-1.0,1001.25,745.5,-1,1052.33333333,1000.0,-1.0,0.333333333333,0
47,EI-189,CookieTheft,351.6,316.5,343.923182638,972.333333333,1166.5,-1,329.444444444,433.0,-1.0,0.3,0
48,EI-191,CookieTheft,714.4375,204.0,-1.0,1158.92307692,425.0,-1,455.285714286,258.0,-1.0,0.4375,0
49,EL-003,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
50,EL-101,CookieTheft,369.944444444,179.5,-1.0,540.384615385,16.0,-1,524.555555556,533.5,-1.0,0.444444444444,0
51,EL-122,CookieTheft,413.2,300.0,-1.0,1411.33333333,1725.0,-1,508.2,484.0,-1.0,0.2,0
52,EL-156,CookieTheft,507.448275862,308.0,-1.0,471.842105263,275.0,-1,840.75862069,525.0,-1.0,0.448275862069,0
53,EL-185,CookieTheft,700.714285714,499.0,-1.0,741.666666667,209.0,-1,803.142857143,633.0,-1.0,0.142857142857,0
54,EO-005,CookieTheft,399.769230769,367.0,-1.0,445.666666667,16.5,-1,451.166666667,325.0,-1.0,0.384615384615,0
